 Name,Start,Length
Codeforces Round 904 (Div. 2),Oct/22/2023 12:35,2:00
Codeforces Round 905 (Div. 1),Oct/22/2023 16:35,2:00
Codeforces Round 905 (Div. 2),Oct/22/2023 16:35,2:00
Codeforces Round 905 (Div. 3),Oct/22/2023 16:35,2:00
Codeforces Round (Div. 1),Oct/28/2023 20:05,2:30
Codeforces Round (Div. 2),Oct/28/2023 20:05,2:30
Codeforces Round (Div. 2),Oct/30/2023 20:05,2:00
Codeforces Round (Div. 1),Nov/07/2023 20:05,2:00
Codeforces Round (Div. 2),Nov/07/2023 20:05,2:00
2023 ICPC Post-world Finals,Nov/20/2023 12:30,14:00:00
